"Population"	"Environment"	"Replicate"	"Generation"	"Yield"	"Group"	"Relative_Yield"
"EvoE"	"Ethanol"	"R1"	300	0.7499	"EvoE_R1"	1.124082027
"EvoE"	"Ethanol"	"R1"	300	0.6839	"EvoE_R1"	1.025149618
"EvoE"	"Ethanol"	"R1"	300	0.6749	"EvoE_R1"	1.011658835
"EvoE"	"Ethanol"	"R1"	300	0.6509	"EvoE_R1"	0.975683413
"EvoE"	"Ethanol"	"R1"	300	0.6739	"EvoE_R1"	1.010159859
"EvoE"	"Ethanol"	"R2"	300	0.7189	"EvoE_R2"	1.077613774
"EvoE"	"Ethanol"	"R2"	300	0.7299	"EvoE_R2"	1.094102509
"EvoE"	"Ethanol"	"R2"	300	0.7339	"EvoE_R2"	1.100098413
"EvoE"	"Ethanol"	"R2"	300	0.7429	"EvoE_R2"	1.113589196
"EvoE"	"Ethanol"	"R2"	300	0.7569	"EvoE_R2"	1.134574858
"EvoE"	"Ethanol"	"R3"	300	0.8189	"EvoE_R3"	1.227511364
"EvoE"	"Ethanol"	"R3"	300	0.7979	"EvoE_R3"	1.19603287
"EvoE"	"Ethanol"	"R3"	300	0.7689	"EvoE_R3"	1.152562569
"EvoE"	"Ethanol"	"R3"	300	0.7579	"EvoE_R3"	1.136073834
"EvoE"	"Ethanol"	"R3"	300	0.7509	"EvoE_R3"	1.125581003
"EvoE"	"Ethanol"	"R4"	300	0.6729	"EvoE_R4"	1.008660883
"EvoE"	"Ethanol"	"R4"	300	0.6759	"EvoE_R4"	1.013157811
"EvoE"	"Ethanol"	"R4"	300	0.6879	"EvoE_R4"	1.031145521
"EvoE"	"Ethanol"	"R4"	300	0.7119	"EvoE_R4"	1.067120943
"EvoE"	"Ethanol"	"R4"	300	0.7139	"EvoE_R4"	1.070118895
"EvoE"	"Ethanol"	"R1"	100	0.7984	"EvoE_R1"	1.196782358
"EvoE"	"Ethanol"	"R1"	100	0.7884	"EvoE_R1"	1.181792599
"EvoE"	"Ethanol"	"R1"	100	0.7904	"EvoE_R1"	1.184790551
"EvoE"	"Ethanol"	"R1"	100	0.7624	"EvoE_R1"	1.142819226
"EvoE"	"Ethanol"	"R1"	100	0.7404	"EvoE_R1"	1.109841756
"EvoE"	"Ethanol"	"R2"	100	0.8184	"EvoE_R2"	1.226761876
"EvoE"	"Ethanol"	"R2"	100	0.7944	"EvoE_R2"	1.190786455
"EvoE"	"Ethanol"	"R2"	100	0.8784	"EvoE_R2"	1.31670043
"EvoE"	"Ethanol"	"R2"	100	0.8624	"EvoE_R2"	1.292716816
"EvoE"	"Ethanol"	"R2"	100	0.8754	"EvoE_R2"	1.312203503
"EvoE"	"Ethanol"	"R3"	100	0.9044	"EvoE_R3"	1.355673804
"EvoE"	"Ethanol"	"R3"	100	0.7854	"EvoE_R3"	1.177295672
"EvoE"	"Ethanol"	"R3"	100	0.8464	"EvoE_R3"	1.268733201
"EvoE"	"Ethanol"	"R3"	100	0.8384	"EvoE_R3"	1.256741394
"EvoE"	"Ethanol"	"R3"	100	0.7954	"EvoE_R3"	1.192285431
"EvoE"	"Ethanol"	"R4"	100	0.7874	"EvoE_R4"	1.180293623
"EvoE"	"Ethanol"	"R4"	100	0.7404	"EvoE_R4"	1.109841756
"EvoE"	"Ethanol"	"R4"	100	0.8164	"EvoE_R4"	1.223763924
"EvoE"	"Ethanol"	"R4"	100	0.7774	"EvoE_R4"	1.165303864
"EvoE"	"Ethanol"	"R4"	100	0.7844	"EvoE_R4"	1.175796696
"EvoE"	"Ethanol"	"R1"	500	0.8934	"EvoE_R1"	1.339185069
"EvoE"	"Ethanol"	"R1"	500	0.8824	"EvoE_R1"	1.322696334
"EvoE"	"Ethanol"	"R1"	500	0.8524	"EvoE_R1"	1.277727057
"EvoE"	"Ethanol"	"R2"	500	0.8414	"EvoE_R2"	1.261238322
"EvoE"	"Ethanol"	"R2"	500	0.8164	"EvoE_R2"	1.223763924
"EvoE"	"Ethanol"	"R2"	500	0.8444	"EvoE_R2"	1.26573525
"EvoE"	"Ethanol"	"R2"	500	0.8194	"EvoE_R2"	1.228260852
"EvoE"	"Ethanol"	"R2"	500	0.8634	"EvoE_R2"	1.294215792
"EvoE"	"Ethanol"	"R3"	500	0.8834	"EvoE_R3"	1.32419531
"EvoE"	"Ethanol"	"R3"	500	0.8334	"EvoE_R3"	1.249246515
"EvoE"	"Ethanol"	"R3"	500	0.7814	"EvoE_R3"	1.171299768
"EvoE"	"Ethanol"	"R3"	500	0.7544	"EvoE_R3"	1.130827419
"EvoE"	"Ethanol"	"R3"	500	0.7564	"EvoE_R3"	1.133825371
"EvoE"	"Ethanol"	"R4"	500	0.7614	"EvoE_R4"	1.14132025
"EvoE"	"Ethanol"	"R4"	500	0.7894	"EvoE_R4"	1.183291575
"EvoE"	"Ethanol"	"R4"	500	0.8364	"EvoE_R4"	1.253743442
"EvoE"	"Ethanol"	"R4"	500	0.8274	"EvoE_R4"	1.240252659
"EvoE"	"Ethanol"	"R4"	500	0.8364	"EvoE_R4"	1.253743442
"EvoE"	"Ethanol"	"R1"	700	0.775053333	"EvoE_R1"	1.161786267
"EvoE"	"Ethanol"	"R1"	700	0.792053333	"EvoE_R1"	1.187268857
"EvoE"	"Ethanol"	"R1"	700	0.788053333	"EvoE_R1"	1.181272954
"EvoE"	"Ethanol"	"R1"	700	0.820053333	"EvoE_R1"	1.229240183
"EvoE"	"Ethanol"	"R1"	700	0.862053333	"EvoE_R1"	1.29219717
"EvoE"	"Ethanol"	"R1"	1000	0.712	"EvoE_R1"	1.067270841
"EvoE"	"Ethanol"	"R1"	1000	0.7	"EvoE_R1"	1.04928313
"EvoE"	"Ethanol"	"R1"	1000	0.667	"EvoE_R1"	0.999816925
"EvoE"	"Ethanol"	"R1"	1000	0.676	"EvoE_R1"	1.013307708
"EvoE"	"Ethanol"	"R1"	1000	0.631	"EvoE_R1"	0.945853793
"EvoE"	"Ethanol"	"R2"	700	0.8884	"EvoE_R2"	1.331690189
"EvoE"	"Ethanol"	"R2"	700	0.9274	"EvoE_R2"	1.390150249
"EvoE"	"Ethanol"	"R2"	700	0.7654	"EvoE_R2"	1.147316154
"EvoE"	"Ethanol"	"R2"	700	0.9994	"EvoE_R2"	1.498076514
"EvoE"	"Ethanol"	"R2"	700	0.8814	"EvoE_R2"	1.321197358
"EvoE"	"Ethanol"	"R2"	1000	1.011493333	"EvoE_R2"	1.516204129
"EvoE"	"Ethanol"	"R2"	1000	1.008493333	"EvoE_R2"	1.511707201
"EvoE"	"Ethanol"	"R2"	1000	0.959493333	"EvoE_R2"	1.438257382
"EvoE"	"Ethanol"	"R2"	1000	1.000493333	"EvoE_R2"	1.499715394
"EvoE"	"Ethanol"	"R2"	1000	1.048493333	"EvoE_R2"	1.571666237
"EvoE"	"Ethanol"	"R3"	700	0.63984	"EvoE_R3"	0.95910474
"EvoE"	"Ethanol"	"R3"	700	0.67684	"EvoE_R3"	1.014566848
