Chr_number	Chr_ID	Chr	RefSeq_ID	Length
1	ChrI	BK006935.2	NC_001133.9	230218
2	ChrII	BK006936.2	NC_001134.8	813184
3	ChrIII	BK006937.2	NC_001135.5	316620
4	ChrIV	BK006938.2	NC_001136.10	1531933
5	ChrV	BK006939.2	NC_001137.3	576874
6	ChrVI	BK006940.2	NC_001138.5	270161
7	ChrVII	BK006941.2	NC_001139.9	1090940
8	ChrVIII	BK006934.2	NC_001140.6	562643
9	ChrIX	BK006942.2	NC_001141.2	439888
10	ChrX	BK006943.2	NC_001142.9	745751
11	ChrXI	BK006944.2	NC_001143.9	666816
12	ChrXII	BK006945.2	NC_001144.5	1078177
13	ChrXIII	BK006946.2	NC_001145.3	924431
14	ChrXIV	BK006947.3	NC_001146.8	784333
15	ChrXV	BK006948.2	NC_001147.6	1091291
16	ChrXVI	BK006949.2	NC_001148.4	948066
M	ChrMito	AJ011856.1	NC_001224.1	85779
