Coordinate	Contig	pos	gene_name	Gene_ID	type	putative_effect	Environment	Replicate	class
BK006935.2_1585	ChrI	1585	YAL067W-A	YAL067W-A	upstream_gene_variant	MODIFIER	LiAc0.02	R1	SNP
BK006935.2_1585	ChrI	1585	YAL067W-A	YAL067W-A	upstream_gene_variant	MODIFIER	LiAc0.02	R2	SNP
BK006935.2_1585	ChrI	1585	YAL067W-A	YAL067W-A	upstream_gene_variant	MODIFIER	LiAc0.02	R3	SNP
BK006935.2_1585	ChrI	1585	YAL067W-A	YAL067W-A	upstream_gene_variant	MODIFIER	LiAc0.02	R4	SNP
BK006935.2_1585	ChrI	1585	YAL067W-A	YAL067W-A	upstream_gene_variant	MODIFIER	LiAc0.02	R5	SNP
BK006935.2_37730	ChrI	37730	CNE1	YAL058W	synonymous_variant	LOW	LiAc0.01	R2	SNP
BK006935.2_109859	ChrI	109859	FUN26	YAL022C	missense_variant	MODERATE	Ethanol	R3	SNP
BK006935.2_139137	ChrI	139137	MDM10	YAL010C	upstream_gene_variant	MODIFIER	NaCl	R4	INDEL
BK006935.2_197443	ChrI	197443	YAR035C-A	YAR035C-A	upstream_gene_variant	MODIFIER	LiAc0.01	R4	INDEL
BK006935.2_197443	ChrI	197443	YAR035C-A	YAR035C-A	upstream_gene_variant	MODIFIER	LiAc0.01	R5	INDEL
BK006936.2_258839	ChrII	258839	FLR1	YBR008C	upstream_gene_variant	MODIFIER	LiAc0.01	R5	SNP
BK006936.2_357249	ChrII	357249	AKL1	YBR059C	missense_variant	MODERATE	LiAc0.01	R1	SNP
BK006936.2_357249	ChrII	357249	AKL1	YBR059C	missense_variant	MODERATE	LiAc0.01	R2	SNP
BK006936.2_357249	ChrII	357249	AKL1	YBR059C	missense_variant	MODERATE	LiAc0.01	R4	SNP
BK006936.2_357249	ChrII	357249	AKL1	YBR059C	missense_variant	MODERATE	LiAc0.01	R5	SNP
BK006936.2_372331	ChrII	372331	TIP1	YBR067C	frameshift_variant	HIGH	LiAc0.01	R1	INDEL
BK006936.2_372331	ChrII	372331	TIP1	YBR067C	disruptive_inframe_insertion	MODERATE	NaCl	R2	INDEL
BK006936.2_372358	ChrII	372358	TIP1	YBR067C	disruptive_inframe_insertion	MODERATE	LiAc0.02	R5	INDEL
BK006936.2_372399	ChrII	372399	TIP1	YBR067C	frameshift_variant	HIGH	LiAc0.01	R1	INDEL
